datetime,open,high,low,close,volume
2025-12-22 09:30:00,1.65,1.6573,1.64,1.64,467
2025-12-22 09:31:00,1.6599,1.6599,1.64,1.65,38
2025-12-22 09:32:00,1.655,1.67,1.655,1.664,84
2025-12-22 09:33:00,1.67,1.679,1.665,1.674,296
2025-12-22 09:34:00,1.68,1.7,1.68,1.695,280
2025-12-22 09:35:00,1.695,1.695,1.69,1.695,63
2025-12-22 09:36:00,1.694,1.7,1.694,1.7,101
2025-12-22 09:37:00,1.7,1.704,1.695,1.704,133
2025-12-22 09:38:00,1.704,1.704,1.704,1.704,1
2025-12-22 09:39:00,1.7,1.7,1.694,1.694,106
2025-12-22 09:40:00,1.695,1.695,1.694,1.695,8
2025-12-22 09:41:00,1.69,1.694,1.69,1.69,105
2025-12-22 09:42:00,1.684,1.6899,1.684,1.6899,3
2025-12-22 09:43:00,1.685,1.695,1.685,1.694,96
2025-12-22 09:44:00,1.695,1.695,1.69,1.69,7
2025-12-22 09:45:00,1.69,1.695,1.69,1.695,10
2025-12-22 09:46:00,1.695,1.695,1.69,1.69,6
2025-12-22 09:47:00,1.694,1.7,1.694,1.7,2
2025-12-22 09:48:00,1.6935,1.695,1.6935,1.695,84
2025-12-22 09:49:00,1.6924,1.695,1.69,1.694,178
2025-12-22 09:50:00,1.695,1.695,1.69,1.695,32
2025-12-22 09:51:00,1.695,1.695,1.6901,1.694,41
2025-12-22 09:52:00,1.69,1.694,1.69,1.694,2
2025-12-22 09:53:00,1.7,1.7,1.7,1.7,16
2025-12-22 09:54:00,1.69,1.6936,1.69,1.69,26
2025-12-22 09:55:00,1.695,1.695,1.695,1.695,4
2025-12-22 09:56:00,1.6901,1.695,1.6901,1.695,28
2025-12-22 09:57:00,1.695,1.7,1.69,1.6993,170
2025-12-22 09:58:00,1.6935,1.7,1.6935,1.7,22
2025-12-22 09:59:00,1.7,1.7,1.695,1.695,6
2025-12-22 10:00:00,1.7,1.71,1.7,1.705,212
2025-12-22 10:01:00,1.71,1.71,1.705,1.71,5
2025-12-22 10:02:00,1.71,1.71,1.705,1.71,42
2025-12-22 10:03:00,1.705,1.71,1.705,1.71,6
2025-12-22 10:04:00,1.71,1.72,1.71,1.711,244
2025-12-22 10:05:00,1.72,1.72,1.715,1.72,26
2025-12-22 10:06:00,1.72,1.72,1.715,1.72,7
2025-12-22 10:07:00,1.72,1.72,1.71,1.71,35
2025-12-22 10:08:00,1.71,1.72,1.71,1.72,23
2025-12-22 10:09:00,1.72,1.72,1.72,1.72,4
2025-12-22 10:10:00,1.72,1.72,1.715,1.72,4
2025-12-22 10:11:00,1.72,1.72,1.705,1.705,101
2025-12-22 10:12:00,1.71,1.71,1.71,1.71,1
2025-12-22 10:13:00,1.705,1.71,1.705,1.705,34
2025-12-22 10:14:00,1.709,1.709,1.7001,1.705,33
2025-12-22 10:15:00,1.705,1.71,1.7,1.705,109
2025-12-22 10:16:00,1.71,1.71,1.705,1.705,8
2025-12-22 10:17:00,1.7011,1.71,1.7011,1.71,39
2025-12-22 10:18:00,1.71,1.71,1.705,1.705,66
2025-12-22 10:19:00,1.7007,1.71,1.7007,1.71,28
2025-12-22 10:20:00,1.71,1.71,1.7,1.71,9
2025-12-22 10:21:00,1.705,1.71,1.7015,1.71,158
2025-12-22 10:22:00,1.71,1.71,1.705,1.71,7
2025-12-22 10:23:00,1.705,1.71,1.7,1.71,66
2025-12-22 10:24:00,1.705,1.71,1.7,1.7,21
2025-12-22 10:25:00,1.7,1.71,1.695,1.695,292
