datetime,open,high,low,close,volume
2025-12-22 09:30:00,6.54,6.54,6.47,6.54,104
2025-12-22 09:31:00,6.51,6.51,6.51,6.51,1
2025-12-22 09:32:00,6.55,6.6,6.55,6.55,17
2025-12-22 09:33:00,6.54,6.6,6.5,6.6,155
2025-12-22 09:34:00,6.6,6.6,6.6,6.6,9
2025-12-22 09:35:00,6.57,6.57,6.55,6.55,5
2025-12-22 09:36:00,6.54,6.6,6.54,6.58,7
2025-12-22 09:37:00,6.55,6.56,6.54,6.54,7
2025-12-22 09:38:00,6.54,6.54,6.53,6.54,1
2025-12-22 09:39:00,6.51,6.53,6.5,6.53,8
2025-12-22 09:40:00,6.52,6.57,6.51,6.54,11
2025-12-22 09:41:00,6.54,6.54,6.54,6.54,0
2025-12-22 09:42:00,6.54,6.54,6.54,6.54,0
2025-12-22 09:43:00,6.54,6.54,6.54,6.54,0
2025-12-22 09:44:00,6.55,6.58,6.55,6.58,56
2025-12-22 09:45:00,6.58,6.61,6.58,6.59,20
2025-12-22 09:46:00,6.57,6.57,6.56,6.57,2
2025-12-22 09:47:00,6.6,6.6,6.6,6.6,2
2025-12-22 09:48:00,6.6,6.6,6.6,6.6,0
2025-12-22 09:49:00,6.58,6.58,6.57,6.58,1
2025-12-22 09:50:00,6.58,6.59,6.57,6.59,2
2025-12-22 09:51:00,6.59,6.6,6.57,6.59,8
2025-12-22 09:52:00,6.59,6.59,6.59,6.59,2
2025-12-22 09:53:00,6.58,6.58,6.58,6.58,8
2025-12-22 09:54:00,6.58,6.59,6.58,6.58,24
2025-12-22 09:55:00,6.58,6.58,6.58,6.58,0
2025-12-22 09:56:00,6.6,6.63,6.6,6.63,14
2025-12-22 09:57:00,6.63,6.63,6.63,6.63,0
2025-12-22 09:58:00,6.63,6.64,6.62,6.64,16
2025-12-22 09:59:00,6.63,6.63,6.62,6.62,5
2025-12-22 10:00:00,6.63,6.63,6.62,6.62,2
2025-12-22 10:01:00,6.62,6.63,6.61,6.63,6
2025-12-22 10:02:00,6.61,6.61,6.61,6.61,5
2025-12-22 10:03:00,6.62,6.66,6.62,6.66,18
2025-12-22 10:04:00,6.66,6.66,6.66,6.66,0
2025-12-22 10:05:00,6.66,6.66,6.66,6.66,0
2025-12-22 10:06:00,6.67,6.69,6.66,6.68,21
2025-12-22 10:07:00,6.68,6.68,6.68,6.68,3
2025-12-22 10:08:00,6.68,6.7,6.68,6.7,30
2025-12-22 10:09:00,6.7,6.7,6.69,6.7,11
2025-12-22 10:10:00,6.7,6.71,6.68,6.68,10
2025-12-22 10:11:00,6.68,6.68,6.66,6.67,4
2025-12-22 10:12:00,6.67,6.67,6.67,6.67,0
2025-12-22 10:13:00,6.69,6.71,6.69,6.71,5
2025-12-22 10:14:00,6.72,6.72,6.72,6.72,2
