datetime,open,high,low,close,volume
2025-12-22 09:30:00,5.775,5.775,5.71,5.76,384
2025-12-22 09:31:00,5.74,5.76,5.74,5.755,12
2025-12-22 09:32:00,5.78,5.81,5.78,5.791,79
2025-12-22 09:33:00,5.79,5.83,5.78,5.83,45
2025-12-22 09:34:00,5.86,5.86,5.83,5.83,45
2025-12-22 09:35:00,5.84,5.86,5.835,5.84,68
2025-12-22 09:36:00,5.83,5.86,5.83,5.86,61
2025-12-22 09:37:00,5.855,5.86,5.805,5.805,57
2025-12-22 09:38:00,5.81,5.81,5.8,5.801,7
2025-12-22 09:39:00,5.801,5.801,5.8,5.8,4
2025-12-22 09:40:00,5.81,5.811,5.803,5.811,29
2025-12-22 09:41:00,5.81,5.811,5.81,5.811,4
2025-12-22 09:42:00,5.81,5.82,5.8,5.801,22
2025-12-22 09:43:00,5.801,5.81,5.795,5.8,20
2025-12-22 09:44:00,5.8,5.8,5.78,5.786,53
2025-12-22 09:45:00,5.79,5.795,5.785,5.785,37
2025-12-22 09:46:00,5.785,5.7888,5.76,5.76,25
2025-12-22 09:47:00,5.76,5.76,5.76,5.76,7
2025-12-22 09:48:00,5.755,5.76,5.75,5.755,159
2025-12-22 09:49:00,5.755,5.78,5.755,5.765,78
2025-12-22 09:50:00,5.76,5.775,5.755,5.775,19
2025-12-22 09:51:00,5.79,5.79,5.775,5.775,10
2025-12-22 09:52:00,5.78,5.79,5.77,5.775,38
2025-12-22 09:53:00,5.775,5.775,5.775,5.775,7
2025-12-22 09:54:00,5.775,5.79,5.775,5.785,24
2025-12-22 09:55:00,5.785,5.8,5.785,5.79,14
2025-12-22 09:56:00,5.79,5.82,5.79,5.805,41
2025-12-22 09:57:00,5.815,5.815,5.815,5.815,10
2025-12-22 09:58:00,5.8,5.83,5.8,5.83,25
2025-12-22 09:59:00,5.83,5.85,5.83,5.83,44
2025-12-22 10:00:00,5.83,5.85,5.825,5.85,33
2025-12-22 10:01:00,5.85,5.85,5.835,5.835,41
2025-12-22 10:02:00,5.835,5.84,5.8301,5.835,52
2025-12-22 10:03:00,5.84,5.84,5.835,5.835,5
2025-12-22 10:04:00,5.84,5.84,5.835,5.835,175
2025-12-22 10:05:00,5.835,5.84,5.835,5.84,35
2025-12-22 10:06:00,5.84,5.85,5.84,5.846,35
2025-12-22 10:07:00,5.85,5.855,5.845,5.855,18
2025-12-22 10:08:00,5.86,5.86,5.855,5.86,103
2025-12-22 10:09:00,5.855,5.86,5.85,5.85,87
2025-12-22 10:10:00,5.85,5.86,5.85,5.86,22
2025-12-22 10:11:00,5.8584,5.8584,5.855,5.855,26
2025-12-22 10:12:00,5.855,5.855,5.8536,5.855,67
2025-12-22 10:13:00,5.855,5.86,5.855,5.855,27
2025-12-22 10:14:00,5.855,5.86,5.84,5.84,68
2025-12-22 10:15:00,5.84,5.88,5.84,5.88,418
2025-12-22 10:16:00,5.875,5.875,5.855,5.855,38
2025-12-22 10:17:00,5.855,5.865,5.855,5.865,13
2025-12-22 10:18:00,5.87,5.87,5.86,5.865,43
2025-12-22 10:19:00,5.87,5.875,5.87,5.875,14
2025-12-22 10:20:00,5.87,5.87,5.8636,5.865,82
2025-12-22 10:21:00,5.865,5.87,5.86,5.86,115
2025-12-22 10:22:00,5.855,5.86,5.855,5.86,7
2025-12-22 10:23:00,5.85,5.855,5.85,5.8517,4
2025-12-22 10:24:00,5.855,5.855,5.845,5.845,51
2025-12-22 10:25:00,5.845,5.845,5.84,5.845,9
2025-12-22 10:26:00,5.845,5.845,5.84,5.845,4
2025-12-22 10:27:00,5.845,5.845,5.845,5.845,2
2025-12-22 10:28:00,5.845,5.845,5.845,5.845,9
2025-12-22 10:29:00,5.85,5.85,5.845,5.85,5
2025-12-22 10:30:00,5.845,5.85,5.845,5.85,22
2025-12-22 10:31:00,5.85,5.85,5.845,5.845,16
2025-12-22 10:32:00,5.845,5.85,5.845,5.85,19
2025-12-22 10:33:00,5.845,5.845,5.835,5.845,78
2025-12-22 10:34:00,5.8414,5.8414,5.8414,5.8414,5
2025-12-22 10:35:00,5.845,5.845,5.845,5.845,1
2025-12-22 10:36:00,5.84,5.84,5.835,5.835,30
2025-12-22 10:37:00,5.835,5.835,5.835,5.835,3
2025-12-22 10:38:00,5.835,5.835,5.83,5.835,3
2025-12-22 10:39:00,5.835,5.835,5.835,5.835,8
2025-12-22 10:40:00,5.8301,5.84,5.8301,5.84,15
2025-12-22 10:41:00,5.835,5.84,5.83,5.83,7
2025-12-22 10:42:00,5.835,5.84,5.8336,5.835,33
2025-12-22 10:43:00,5.835,5.84,5.835,5.84,30
2025-12-22 10:44:00,5.83,5.835,5.825,5.825,86
2025-12-22 10:45:00,5.825,5.83,5.8201,5.83,12
2025-12-22 10:46:00,5.83,5.835,5.83,5.83,64
2025-12-22 10:47:00,5.83,5.835,5.83,5.835,17
2025-12-22 10:48:00,5.83,5.83,5.82,5.825,43
2025-12-22 10:49:00,5.825,5.825,5.825,5.825,2
2025-12-22 10:50:00,5.83,5.83,5.83,5.83,38
2025-12-22 10:51:00,5.83,5.83,5.825,5.825,118
2025-12-22 10:52:00,5.825,5.825,5.8225,5.825,21
2025-12-22 10:53:00,5.825,5.825,5.825,5.825,0
2025-12-22 10:54:00,5.825,5.825,5.825,5.825,18
2025-12-22 10:55:00,5.8213,5.83,5.8213,5.825,11
2025-12-22 10:56:00,5.825,5.835,5.825,5.835,39
2025-12-22 10:57:00,5.835,5.84,5.835,5.836,69
2025-12-22 10:58:00,5.8387,5.84,5.8326,5.8326,28
2025-12-22 10:59:00,5.835,5.84,5.835,5.835,19
2025-12-22 11:00:00,5.84,5.84,5.82,5.83,57
2025-12-22 11:01:00,5.83,5.835,5.825,5.835,18
2025-12-22 11:02:00,5.835,5.84,5.835,5.84,89
2025-12-22 11:03:00,5.84,5.85,5.84,5.85,24
2025-12-22 11:04:00,5.85,5.85,5.85,5.85,25
2025-12-22 11:05:00,5.855,5.855,5.855,5.855,2
2025-12-22 11:06:00,5.86,5.86,5.855,5.855,32
2025-12-22 11:07:00,5.855,5.86,5.835,5.835,56
2025-12-22 11:08:00,5.835,5.835,5.835,5.835,2
2025-12-22 11:09:00,5.835,5.86,5.835,5.8566,70
2025-12-22 11:10:00,5.855,5.855,5.85,5.855,3
2025-12-22 11:11:00,5.86,5.86,5.86,5.86,7
2025-12-22 11:12:00,5.86,5.86,5.85,5.85,41
2025-12-22 11:13:00,5.855,5.855,5.855,5.855,1
2025-12-22 11:14:00,5.855,5.855,5.85,5.855,7
2025-12-22 11:15:00,5.855,5.855,5.855,5.855,5
2025-12-22 11:16:00,5.855,5.855,5.84,5.845,42
2025-12-22 11:17:00,5.85,5.855,5.85,5.855,17
2025-12-22 11:18:00,5.855,5.855,5.855,5.855,0
2025-12-22 11:19:00,5.855,5.855,5.85,5.855,9
2025-12-22 11:20:00,5.855,5.855,5.855,5.855,34
2025-12-22 11:21:00,5.86,5.86,5.855,5.86,14
2025-12-22 11:22:00,5.855,5.86,5.845,5.845,106
2025-12-22 11:23:00,5.845,5.845,5.835,5.835,20
2025-12-22 11:24:00,5.835,5.835,5.835,5.835,1
2025-12-22 11:25:00,5.835,5.835,5.835,5.835,2
2025-12-22 11:26:00,5.835,5.835,5.835,5.835,4
2025-12-22 11:27:00,5.8317,5.84,5.815,5.835,293
2025-12-22 11:28:00,5.835,5.84,5.835,5.84,19
2025-12-22 11:29:00,5.835,5.835,5.835,5.835,1
2025-12-22 11:30:00,5.84,5.84,5.84,5.84,37
2025-12-22 11:31:00,5.84,5.85,5.8391,5.85,15
2025-12-22 11:32:00,5.85,5.85,5.845,5.85,13
2025-12-22 11:33:00,5.86,5.86,5.855,5.86,12
2025-12-22 11:34:00,5.855,5.86,5.855,5.86,10
2025-12-22 11:35:00,5.855,5.86,5.855,5.86,18
2025-12-22 11:36:00,5.854,5.86,5.854,5.86,19
2025-12-22 11:37:00,5.86,5.86,5.855,5.855,20
2025-12-22 11:38:00,5.86,5.86,5.855,5.855,16
2025-12-22 11:39:00,5.86,5.86,5.855,5.86,29
2025-12-22 11:40:00,5.86,5.86,5.85,5.86,16
2025-12-22 11:41:00,5.86,5.865,5.855,5.865,19
2025-12-22 11:42:00,5.86,5.86,5.855,5.855,82
2025-12-22 11:43:00,5.8599,5.8599,5.855,5.855,12
2025-12-22 11:44:00,5.855,5.86,5.855,5.86,3
2025-12-22 11:45:00,5.85,5.85,5.845,5.845,46
2025-12-22 11:46:00,5.845,5.845,5.845,5.845,9
2025-12-22 11:47:00,5.845,5.845,5.845,5.845,4
2025-12-22 11:48:00,5.84,5.845,5.835,5.845,72
2025-12-22 11:49:00,5.845,5.8498,5.845,5.8498,36
2025-12-22 11:50:00,5.845,5.845,5.845,5.845,37
2025-12-22 11:51:00,5.8436,5.85,5.835,5.85,88
2025-12-22 11:52:00,5.845,5.845,5.845,5.845,5
2025-12-22 11:53:00,5.845,5.85,5.845,5.85,12
2025-12-22 11:54:00,5.845,5.845,5.845,5.845,4
2025-12-22 11:55:00,5.85,5.85,5.85,5.85,4
2025-12-22 11:56:00,5.845,5.85,5.845,5.845,60
2025-12-22 11:57:00,5.845,5.85,5.84,5.85,27
2025-12-22 11:58:00,5.845,5.85,5.845,5.85,47
2025-12-22 11:59:00,5.845,5.8689,5.845,5.8603,122
2025-12-22 12:00:00,5.865,5.87,5.855,5.855,94
2025-12-22 12:01:00,5.855,5.86,5.85,5.855,390
2025-12-22 12:02:00,5.855,5.855,5.855,5.855,4
2025-12-22 12:03:00,5.86,5.86,5.86,5.86,4
2025-12-22 12:04:00,5.86,5.865,5.86,5.865,102
2025-12-22 12:05:00,5.865,5.865,5.86,5.86,28
2025-12-22 12:06:00,5.87,5.87,5.865,5.865,8
2025-12-22 12:07:00,5.8699,5.87,5.8699,5.87,20
2025-12-22 12:08:00,5.87,5.87,5.87,5.87,3
2025-12-22 12:09:00,5.87,5.87,5.865,5.87,27
2025-12-22 12:10:00,5.865,5.87,5.865,5.865,8
2025-12-22 12:11:00,5.865,5.87,5.865,5.865,6
2025-12-22 12:12:00,5.865,5.865,5.865,5.865,6
2025-12-22 12:13:00,5.8644,5.865,5.86,5.8603,105
2025-12-22 12:14:00,5.865,5.87,5.8501,5.855,148
2025-12-22 12:15:00,5.86,5.86,5.8569,5.86,28
2025-12-22 12:16:00,5.86,5.86,5.86,5.86,0
2025-12-22 12:17:00,5.86,5.86,5.86,5.86,3
2025-12-22 12:18:00,5.86,5.86,5.86,5.86,3
2025-12-22 12:19:00,5.855,5.855,5.855,5.855,8
2025-12-22 12:20:00,5.86,5.86,5.855,5.855,15
2025-12-22 12:21:00,5.85,5.855,5.85,5.855,103
2025-12-22 12:22:00,5.8512,5.855,5.85,5.855,45
2025-12-22 12:23:00,5.855,5.855,5.855,5.855,4
2025-12-22 12:24:00,5.855,5.855,5.855,5.855,4
2025-12-22 12:25:00,5.855,5.86,5.85,5.86,12
2025-12-22 12:26:00,5.85,5.86,5.85,5.86,15
2025-12-22 12:27:00,5.85,5.855,5.85,5.855,17
2025-12-22 12:28:00,5.8545,5.86,5.8545,5.855,9
2025-12-22 12:29:00,5.86,5.86,5.85,5.855,9
2025-12-22 12:30:00,5.855,5.86,5.855,5.855,9
2025-12-22 12:31:00,5.855,5.855,5.845,5.845,133
2025-12-22 12:32:00,5.84,5.84,5.84,5.84,3
2025-12-22 12:33:00,5.84,5.84,5.84,5.84,4
2025-12-22 12:34:00,5.84,5.84,5.835,5.835,36
2025-12-22 12:35:00,5.835,5.855,5.835,5.855,100
2025-12-22 12:36:00,5.855,5.855,5.855,5.855,4
2025-12-22 12:37:00,5.85,5.85,5.85,5.85,1
2025-12-22 12:38:00,5.855,5.855,5.855,5.855,3
2025-12-22 12:39:00,5.855,5.855,5.845,5.845,37
2025-12-22 12:40:00,5.845,5.85,5.845,5.85,3
2025-12-22 12:41:00,5.845,5.85,5.845,5.8499,50
2025-12-22 12:42:00,5.845,5.845,5.845,5.845,1
