datetime,open,high,low,close,volume
2025-12-22 09:30:00,855.01,856.91,852.02,854.49,114
2025-12-22 09:31:00,855.96,859.44,855.95,858.69,62
2025-12-22 09:32:00,858.22,859.66,857.06,857.06,44
2025-12-22 09:33:00,856.83,857.73,856.03,857.11,31
2025-12-22 09:34:00,856.87,857.09,856.1,856.68,23
2025-12-22 09:35:00,856.83,858.43,856.79,858.43,28
2025-12-22 09:36:00,858.51,859.23,858.51,859.23,12
2025-12-22 09:37:00,859.3,859.3,858.37,858.37,3
2025-12-22 09:38:00,859.19,859.19,858.68,858.68,5
2025-12-22 09:39:00,858.68,858.68,858.68,858.68,0
2025-12-22 09:40:00,858.44,858.49,858.44,858.49,3
2025-12-22 09:41:00,857.96,858.12,856.32,856.32,19
2025-12-22 09:42:00,857.47,857.47,856.38,856.38,6
2025-12-22 09:43:00,857.7,857.7,857.17,857.17,6
2025-12-22 09:44:00,857.17,857.17,857.17,857.17,0
2025-12-22 09:45:00,857.07,858.78,856.12,856.96,209
2025-12-22 09:46:00,856.26,856.26,856.26,856.26,2
2025-12-22 09:47:00,856.26,856.26,856.26,856.26,0
2025-12-22 09:48:00,856.83,856.83,856.04,856.08,7
2025-12-22 09:49:00,855.94,857.18,855.94,856.97,5
2025-12-22 09:50:00,857.31,857.31,856.5,856.7,3
2025-12-22 09:51:00,856.75,856.75,855.84,855.99,16
2025-12-22 09:52:00,855.98,855.98,855.6,855.6,9
2025-12-22 09:53:00,855.6,855.6,855.6,855.6,0
2025-12-22 09:54:00,855.6,855.6,855.6,855.6,0
2025-12-22 09:55:00,857.0,857.13,856.74,857.13,8
2025-12-22 09:56:00,857.46,857.46,857.16,857.16,2
2025-12-22 09:57:00,857.57,857.57,857.48,857.49,2
2025-12-22 09:58:00,857.49,857.49,857.49,857.49,0
2025-12-22 09:59:00,857.49,857.49,857.49,857.49,0
2025-12-22 10:00:00,858.0,858.0,858.0,858.0,1
2025-12-22 10:01:00,857.63,859.23,857.63,858.74,10
2025-12-22 10:02:00,859.29,859.29,858.91,858.91,3
2025-12-22 10:03:00,858.91,858.91,858.91,858.91,0
2025-12-22 10:04:00,858.02,858.11,857.92,857.92,3
2025-12-22 10:05:00,858.16,858.16,858.16,858.16,1
2025-12-22 10:06:00,858.86,859.45,858.86,859.45,3
2025-12-22 10:07:00,859.74,860.56,859.73,859.82,7
2025-12-22 10:08:00,859.91,859.91,859.32,859.32,6
2025-12-22 10:09:00,859.7,859.7,858.9,858.9,2
2025-12-22 10:10:00,859.03,859.03,859.03,859.03,1
2025-12-22 10:11:00,859.0,859.0,858.72,858.72,2
2025-12-22 10:12:00,858.24,858.24,858.16,858.16,2
2025-12-22 10:13:00,858.16,858.16,858.16,858.16,0
2025-12-22 10:14:00,857.99,858.05,857.99,858.04,3
2025-12-22 10:15:00,857.81,857.81,857.81,857.81,1
2025-12-22 10:16:00,857.17,857.44,857.17,857.44,3
2025-12-22 10:17:00,858.06,858.27,858.0,858.0,3
2025-12-22 10:18:00,857.79,857.79,857.28,857.29,3
2025-12-22 10:19:00,857.29,857.29,857.29,857.29,0
2025-12-22 10:20:00,856.77,857.37,856.77,857.37,5
2025-12-22 10:21:00,857.37,857.37,857.37,857.37,0
2025-12-22 10:22:00,857.77,857.77,857.43,857.43,3
