datetime,open,high,low,close,volume
2025-12-22 09:30:00,11.7,11.79,11.68,11.68,189
2025-12-22 09:31:00,11.68,11.68,11.68,11.68,0
2025-12-22 09:32:00,11.68,11.68,11.68,11.68,0
2025-12-22 09:33:00,11.74,11.8,11.73,11.8,8
2025-12-22 09:34:00,11.8,11.8,11.8,11.8,0
2025-12-22 09:35:00,11.81,11.81,11.81,11.81,4
2025-12-22 09:36:00,11.79,11.81,11.78,11.79,14
2025-12-22 09:37:00,11.79,11.79,11.79,11.79,2
2025-12-22 09:38:00,11.74,11.74,11.71,11.71,15
2025-12-22 09:39:00,11.68,11.69,11.68,11.68,50
2025-12-22 09:40:00,11.68,11.7,11.68,11.7,18
2025-12-22 09:41:00,11.71,11.71,11.71,11.71,4
2025-12-22 09:42:00,11.71,11.71,11.71,11.71,0
2025-12-22 09:43:00,11.71,11.71,11.71,11.71,0
2025-12-22 09:44:00,11.7,11.75,11.7,11.75,31
2025-12-22 09:45:00,11.75,11.75,11.75,11.75,0
2025-12-22 09:46:00,11.75,11.76,11.73,11.76,11
2025-12-22 09:47:00,11.75,11.77,11.74,11.77,15
2025-12-22 09:48:00,11.77,11.77,11.72,11.72,11
2025-12-22 09:49:00,11.71,11.71,11.71,11.71,1
2025-12-22 09:50:00,11.72,11.72,11.71,11.72,6
2025-12-22 09:51:00,11.71,11.72,11.71,11.71,1
2025-12-22 09:52:00,11.73,11.76,11.72,11.76,28
2025-12-22 09:53:00,11.76,11.76,11.75,11.76,20
2025-12-22 09:54:00,11.79,11.79,11.79,11.79,1
2025-12-22 09:55:00,11.79,11.83,11.79,11.83,17
2025-12-22 09:56:00,11.83,11.83,11.83,11.83,0
2025-12-22 09:57:00,11.82,11.82,11.81,11.82,33
2025-12-22 09:58:00,11.82,11.83,11.8,11.83,67
2025-12-22 09:59:00,11.82,11.83,11.81,11.82,80
2025-12-22 10:00:00,11.84,11.84,11.83,11.83,3
2025-12-22 10:01:00,11.85,11.86,11.85,11.86,6
2025-12-22 10:02:00,11.87,11.87,11.85,11.86,3
2025-12-22 10:03:00,11.86,11.88,11.85,11.88,8
2025-12-22 10:04:00,11.88,11.88,11.88,11.88,2
2025-12-22 10:05:00,11.88,11.88,11.87,11.87,6
2025-12-22 10:06:00,11.91,11.92,11.91,11.92,3
2025-12-22 10:07:00,11.92,11.92,11.92,11.92,4
2025-12-22 10:08:00,11.93,11.94,11.93,11.94,2
2025-12-22 10:09:00,11.96,11.96,11.94,11.94,7
2025-12-22 10:10:00,11.93,11.93,11.92,11.92,3
2025-12-22 10:11:00,11.91,11.91,11.91,11.91,1
2025-12-22 10:12:00,11.91,11.91,11.91,11.91,1
2025-12-22 10:13:00,11.92,11.96,11.92,11.96,30
2025-12-22 10:14:00,11.99,11.99,11.97,11.97,3
