datetime,open,high,low,close,volume
2025-12-22 09:30:00,68.07,68.195,67.685,67.685,154
2025-12-22 09:31:00,67.8905,68.3476,67.8905,68.3476,7
2025-12-22 09:32:00,68.195,68.74,68.195,68.53,12
2025-12-22 09:33:00,68.48,68.98,68.48,68.98,63
2025-12-22 09:34:00,68.98,69.0,68.895,68.99,73
2025-12-22 09:35:00,69.0,69.4699,68.81,68.81,140
2025-12-22 09:36:00,68.81,68.81,68.81,68.81,0
2025-12-22 09:37:00,68.8755,68.8755,68.86,68.865,26
2025-12-22 09:38:00,68.9,68.97,68.3,68.3,50
2025-12-22 09:39:00,68.25,68.48,68.23,68.23,19
2025-12-22 09:40:00,68.52,68.52,68.515,68.515,12
2025-12-22 09:41:00,68.37,68.37,68.37,68.37,1
2025-12-22 09:42:00,68.31,68.5,68.31,68.5,9
2025-12-22 09:43:00,68.6469,68.6469,68.455,68.455,13
2025-12-22 09:44:00,68.455,68.485,68.085,68.085,82
2025-12-22 09:45:00,68.21,68.49,68.2,68.4472,20
2025-12-22 09:46:00,68.2,68.49,68.2,68.2,6
2025-12-22 09:47:00,68.195,68.195,68.19,68.19,13
2025-12-22 09:48:00,67.9863,68.43,67.9863,68.04,44
2025-12-22 09:49:00,68.055,68.35,68.055,68.35,22
2025-12-22 09:50:00,68.2534,68.32,67.9,67.9,22
2025-12-22 09:51:00,68.095,68.095,68.095,68.095,4
2025-12-22 09:52:00,68.1,68.1,68.0,68.0,29
2025-12-22 09:53:00,68.0,68.0,68.0,68.0,0
2025-12-22 09:54:00,68.04,68.44,68.04,68.44,28
2025-12-22 09:55:00,68.44,68.44,68.44,68.44,1
2025-12-22 09:56:00,67.9778,68.73,67.9778,68.57,38
2025-12-22 09:57:00,68.61,68.75,68.61,68.69,25
2025-12-22 09:58:00,68.75,68.83,68.62,68.62,7
2025-12-22 09:59:00,68.79,68.79,68.79,68.79,2
2025-12-22 10:00:00,68.785,68.93,68.785,68.785,15
2025-12-22 10:01:00,68.765,68.765,68.725,68.725,7
2025-12-22 10:02:00,68.725,68.73,68.725,68.73,9
2025-12-22 10:03:00,68.72,68.85,68.72,68.85,12
2025-12-22 10:04:00,68.86,68.86,68.8,68.8,2
2025-12-22 10:05:00,68.9899,69.07,68.925,68.925,18
2025-12-22 10:06:00,68.835,68.835,68.835,68.835,3
2025-12-22 10:07:00,68.835,68.835,68.835,68.835,0
2025-12-22 10:08:00,68.93,68.94,68.82,68.82,10
2025-12-22 10:09:00,68.85,68.9,68.74,68.74,14
2025-12-22 10:10:00,68.68,68.68,68.52,68.52,3
2025-12-22 10:11:00,68.6899,68.6899,68.46,68.47,14
2025-12-22 10:12:00,68.44,68.44,68.44,68.44,1
2025-12-22 10:13:00,68.33,68.3599,68.1,68.235,19
2025-12-22 10:14:00,68.275,68.36,68.11,68.11,23
2025-12-22 10:15:00,68.11,68.13,68.0,68.11,17
2025-12-22 10:16:00,68.004,68.11,68.004,68.11,4
2025-12-22 10:17:00,68.11,68.125,68.0,68.03,4
2025-12-22 10:18:00,68.15,68.15,67.91,68.03,26
2025-12-22 10:19:00,68.09,68.1,67.91,67.91,65
2025-12-22 10:20:00,67.91,67.91,67.91,67.91,0
2025-12-22 10:21:00,68.0,68.076,68.0,68.076,4
2025-12-22 10:22:00,68.08,68.135,67.91,67.91,18
2025-12-22 10:23:00,67.91,67.91,67.91,67.91,0
2025-12-22 10:24:00,68.045,68.045,67.93,67.93,2
2025-12-22 10:25:00,67.91,67.995,67.6,67.6824,14
2025-12-22 10:26:00,67.78,67.94,67.62,67.94,47
2025-12-22 10:27:00,68.04,68.1977,68.04,68.1977,6
2025-12-22 10:28:00,68.2,68.2,68.13,68.195,7
2025-12-22 10:29:00,68.19,68.19,68.19,68.19,4
2025-12-22 10:30:00,68.14,68.17,68.085,68.17,12
2025-12-22 10:31:00,68.1,68.1,68.1,68.1,11
2025-12-22 10:32:00,68.19,68.315,68.11,68.11,20
2025-12-22 10:33:00,68.11,68.11,68.11,68.11,0
2025-12-22 10:34:00,68.19,68.36,68.19,68.19,15
2025-12-22 10:35:00,68.19,68.19,68.19,68.19,0
2025-12-22 10:36:00,68.16,68.17,68.05,68.05,59
2025-12-22 10:37:00,68.16,68.2,68.02,68.02,52
2025-12-22 10:38:00,68.02,68.02,68.02,68.02,0
2025-12-22 10:39:00,68.12,68.3,68.03,68.16,124
2025-12-22 10:40:00,68.32,68.51,68.15,68.51,19
2025-12-22 10:41:00,68.51,68.515,68.42,68.515,7
2025-12-22 10:42:00,68.6,68.62,68.55,68.56,10
2025-12-22 10:43:00,68.675,68.675,68.395,68.4196,39
2025-12-22 10:44:00,68.41,68.41,68.31,68.31,7
2025-12-22 10:45:00,68.38,68.38,68.38,68.38,1
2025-12-22 10:46:00,68.4973,68.4973,68.38,68.38,6
2025-12-22 10:47:00,68.38,68.38,68.38,68.38,0
2025-12-22 10:48:00,68.3927,68.45,68.3,68.395,15
2025-12-22 10:49:00,68.31,68.32,68.26,68.28,31
2025-12-22 10:50:00,68.28,68.28,68.28,68.28,3
2025-12-22 10:51:00,68.31,68.31,68.31,68.31,1
2025-12-22 10:52:00,68.31,68.31,68.31,68.31,0
2025-12-22 10:53:00,68.13,68.13,68.13,68.13,6
2025-12-22 10:54:00,68.27,68.27,68.11,68.12,19
2025-12-22 10:55:00,68.11,68.19,68.11,68.11,4
2025-12-22 10:56:00,68.27,68.58,68.26,68.37,108
2025-12-22 10:57:00,68.595,68.6799,68.51,68.6799,13
2025-12-22 10:58:00,68.6799,68.7722,68.52,68.62,26
2025-12-22 10:59:00,68.735,68.735,68.62,68.6201,8
2025-12-22 11:00:00,68.69,68.76,68.67,68.67,9
2025-12-22 11:01:00,68.735,68.8499,68.735,68.8499,2
2025-12-22 11:02:00,68.85,68.93,68.74,68.86,9
2025-12-22 11:03:00,68.93,68.93,68.86,68.86,17
2025-12-22 11:04:00,68.88,68.9,68.825,68.875,7
2025-12-22 11:05:00,68.87,68.87,68.87,68.87,1
2025-12-22 11:06:00,68.865,68.875,68.62,68.62,20
2025-12-22 11:07:00,68.6392,68.6392,68.51,68.52,15
2025-12-22 11:08:00,68.52,68.52,68.37,68.4125,14
2025-12-22 11:09:00,68.455,68.66,68.455,68.53,35
2025-12-22 11:10:00,68.53,68.53,68.53,68.53,1
2025-12-22 11:11:00,68.53,68.53,68.53,68.53,0
2025-12-22 11:12:00,68.57,68.66,68.5,68.5,30
2025-12-22 11:13:00,68.56,68.565,68.5,68.565,4
2025-12-22 11:14:00,68.5,68.54,68.38,68.39,23
2025-12-22 11:15:00,68.4,68.4,68.3,68.3,4
2025-12-22 11:16:00,68.4411,68.47,68.02,68.02,75
2025-12-22 11:17:00,68.02,68.09,68.02,68.02,3
2025-12-22 11:18:00,68.02,68.02,68.02,68.02,0
2025-12-22 11:19:00,68.02,68.02,68.02,68.02,0
2025-12-22 11:20:00,68.16,68.16,68.08,68.08,4
2025-12-22 11:21:00,68.165,68.185,68.165,68.185,2
2025-12-22 11:22:00,68.215,68.27,68.02,68.04,50
2025-12-22 11:23:00,68.28,68.28,68.04,68.05,4
2025-12-22 11:24:00,68.06,68.13,67.88,68.01,97
2025-12-22 11:25:00,68.01,68.34,68.01,68.34,43
2025-12-22 11:26:00,68.35,68.4,68.35,68.4,11
2025-12-22 11:27:00,68.395,68.395,68.35,68.35,4
2025-12-22 11:28:00,68.2582,68.2848,68.2582,68.2848,2
2025-12-22 11:29:00,68.49,68.705,68.475,68.475,54
2025-12-22 11:30:00,68.475,68.475,68.475,68.475,0
2025-12-22 11:31:00,68.73,68.78,68.7075,68.78,9
2025-12-22 11:32:00,68.73,68.73,68.71,68.71,2
2025-12-22 11:33:00,68.79,68.79,68.705,68.705,2
2025-12-22 11:34:00,68.73,68.74,68.73,68.74,2
2025-12-22 11:35:00,68.6561,68.72,68.6561,68.72,2
2025-12-22 11:36:00,68.77,68.77,68.665,68.665,14
2025-12-22 11:37:00,68.665,68.73,68.665,68.73,5
2025-12-22 11:38:00,68.73,68.73,68.73,68.73,0
2025-12-22 11:39:00,68.75,68.75,68.665,68.665,2
2025-12-22 11:40:00,68.68,68.76,68.68,68.76,6
2025-12-22 11:41:00,68.73,68.78,68.73,68.76,19
2025-12-22 11:42:00,68.73,68.75,68.73,68.75,2
2025-12-22 11:43:00,68.775,68.775,68.68,68.68,6
2025-12-22 11:44:00,68.75,68.75,68.67,68.67,2
2025-12-22 11:45:00,68.57,68.675,68.57,68.67,43
2025-12-22 11:46:00,68.58,68.675,68.56,68.6,37
2025-12-22 11:47:00,68.53,68.57,68.52,68.555,45
2025-12-22 11:48:00,68.56,68.7,68.56,68.67,83
2025-12-22 11:49:00,68.62,68.62,68.62,68.62,4
2025-12-22 11:50:00,68.725,68.77,68.71,68.77,5
2025-12-22 11:51:00,68.7008,68.75,68.7008,68.75,2
2025-12-22 11:52:00,68.635,68.66,68.61,68.61,8
2025-12-22 11:53:00,68.5368,68.67,68.5368,68.67,19
2025-12-22 11:54:00,68.77,68.795,68.69,68.69,11
2025-12-22 11:55:00,68.68,68.91,68.68,68.9,100
2025-12-22 11:56:00,68.9,68.9,68.595,68.595,113
2025-12-22 11:57:00,68.58,68.71,68.51,68.71,32
2025-12-22 11:58:00,68.71,68.71,68.71,68.71,0
2025-12-22 11:59:00,68.71,68.71,68.71,68.71,0
2025-12-22 12:00:00,68.71,68.71,68.71,68.71,0
2025-12-22 12:01:00,68.9,68.9,68.9,68.9,1
2025-12-22 12:02:00,68.9,69.0,68.9,68.94,56
2025-12-22 12:03:00,68.8867,68.9478,68.8867,68.9478,5
2025-12-22 12:04:00,68.99,68.99,68.99,68.99,2
2025-12-22 12:05:00,68.99,68.99,68.99,68.99,0
2025-12-22 12:06:00,68.99,69.0,68.8401,68.8401,4
2025-12-22 12:07:00,68.99,68.99,68.99,68.99,1
2025-12-22 12:08:00,68.99,68.99,68.99,68.99,0
2025-12-22 12:09:00,68.99,69.045,68.99,69.045,31
2025-12-22 12:10:00,69.05,69.11,69.05,69.11,7
2025-12-22 12:11:00,69.09,69.09,69.09,69.09,1
2025-12-22 12:12:00,69.04,69.13,69.02,69.13,7
2025-12-22 12:13:00,69.095,69.095,69.03,69.03,7
2025-12-22 12:14:00,69.106,69.106,69.106,69.106,2
